tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec;total_players
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Buddy-Buddy Poffin;TEF 144;4;4;1;4,0;1;100,0;TEF;;144;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_144_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Poké Pad;POR 81;4;4;1;4,0;1;100,0;POR;;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Ultra Ball;MEG 131;4;4;1;4,0;1;100,0;MEG;;131;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_131_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Crushing Hammer;POR 71;4;4;1;4,0;1;100,0;POR;;71;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_071_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Night Stretcher;ASC 196;3;3;1;3,0;1;100,0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Unfair Stamp;TWM 165;1;1;1;1,0;1;100,0;TWM;;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Risky Ruins;MEG 127;2;2;1;2,0;1;100,0;MEG;;127;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_127_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Psychic Energy;MEE 5;4;4;1;4,0;1;100,0;MEE;;5;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_005_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Fire Energy;MEE 2;3;3;1;3,0;1;100,0;MEE;;2;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_002_R_EN_LG.png;;206
6a28d75ce334c3c9befd2cd9;After NAIC LAST PRIZE SERIES;Online Dated;2026-06-17;Dragapult;Darkness Energy;MEE 7;2;2;1;2,0;1;100,0;MEE;;7;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_007_R_EN_LG.png;;206
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Dreepy;TWM 128;8;4;2;4,0;2;100,0;TWM;;128;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Drakloak;TWM 129;8;4;2;4,0;2;100,0;TWM;;129;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Dragapult ex;TWM 130;6;3;2;3,0;2;100,0;TWM;;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Munkidori;TWM 95;4;2;2;2,0;2;100,0;TWM;;95;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Budew;ASC 16;2;1;2;1,0;2;100,0;ASC;;16;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Fezandipiti ex;ASC 142;2;1;2;1,0;2;100,0;ASC;;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Meowth ex;POR 62;2;1;2;1,0;2;100,0;POR;;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Moltres;PFL 14;2;1;2;1,0;2;100,0;PFL;;14;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_014_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Shaymin;DRI 10;2;1;2;1,0;2;100,0;DRI;;10;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Lillie's Determination;MEG 119;8;4;2;4,0;2;100,0;MEG;;119;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_119_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Crispin;SCR 133;6;3;2;3,0;2;100,0;SCR;;133;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_133_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Boss's Orders;MEG 114;6;3;2;3,0;2;100,0;MEG;;114;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_114_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Judge;POR 76;1;1;1;1,0;2;50,0;POR;;76;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_076_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Poké Pad;POR 81;8;4;2;4,0;2;100,0;POR;;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Crushing Hammer;POR 71;8;4;2;4,0;2;100,0;POR;;71;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_071_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Buddy-Buddy Poffin;TEF 144;8;4;2;4,0;2;100,0;TEF;;144;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_144_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Ultra Ball;MEG 131;8;4;2;4,0;2;100,0;MEG;;131;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_131_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Night Stretcher;ASC 196;4;2;2;2,0;2;100,0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Unfair Stamp;TWM 165;2;1;2;1,0;2;100,0;TWM;;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Team Rocket's Watchtower;DRI 180;4;2;2;2,0;2;100,0;DRI;;180;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_180_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Risky Ruins;MEG 127;1;1;1;1,0;2;50,0;MEG;;127;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_127_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Fire Energy;MEE 2;8;4;2;4,0;2;100,0;MEE;;2;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_002_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Psychic Energy;MEE 5;6;3;2;3,0;2;100,0;MEE;;5;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_005_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Darkness Energy;MEE 7;4;2;2;2,0;2;100,0;MEE;;7;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_007_R_EN_LG.png;;168
6a1f23b847f3797bf6baa1a4;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-06-08;Dragapult;Special Red Card;CRI 82;2;2;1;2,0;2;50,0;CRI;;82;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_082_R_EN_LG.png;;168
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Dreepy;TWM 128;4;4;1;4,0;1;100,0;TWM;;128;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Drakloak;TWM 129;4;4;1;4,0;1;100,0;TWM;;129;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Dragapult ex;TWM 130;3;3;1;3,0;1;100,0;TWM;;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Munkidori;TWM 95;2;2;1;2,0;1;100,0;TWM;;95;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Dunsparce;JTG 120;1;1;1;1,0;1;100,0;JTG;;120;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_120_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Dudunsparce;TEF 129;1;1;1;1,0;1;100,0;TEF;;129;Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_129_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Meowth ex;POR 62;1;1;1;1,0;1;100,0;POR;;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Budew;ASC 16;1;1;1;1,0;1;100,0;ASC;;16;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Fezandipiti ex;ASC 142;1;1;1;1,0;1;100,0;ASC;;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Moltres;PFL 14;1;1;1;1,0;1;100,0;PFL;;14;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_014_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Lillie's Determination;MEG 119;4;4;1;4,0;1;100,0;MEG;;119;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_119_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Boss's Orders;MEG 114;3;3;1;3,0;1;100,0;MEG;;114;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_114_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Crispin;SCR 133;3;3;1;3,0;1;100,0;SCR;;133;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_133_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Judge;POR 76;1;1;1;1,0;1;100,0;POR;;76;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_076_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Buddy-Buddy Poffin;TEF 144;4;4;1;4,0;1;100,0;TEF;;144;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_144_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Poké Pad;POR 81;4;4;1;4,0;1;100,0;POR;;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Ultra Ball;MEG 131;4;4;1;4,0;1;100,0;MEG;;131;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_131_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Crushing Hammer;POR 71;4;4;1;4,0;1;100,0;POR;;71;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_071_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Night Stretcher;ASC 196;2;2;1;2,0;1;100,0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Unfair Stamp;TWM 165;1;1;1;1,0;1;100,0;TWM;;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Risky Ruins;MEG 127;2;2;1;2,0;1;100,0;MEG;;127;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_127_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Fire Energy;MEE 2;4;4;1;4,0;1;100,0;MEE;;2;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_002_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Psychic Energy;MEE 5;3;3;1;3,0;1;100,0;MEE;;5;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_005_R_EN_LG.png;;260
6a0c908513f957d6d4b4b729;🏆Moujii's Dojo🏆 (Late Registration Available!);Online Dated;2026-05-25;Dragapult;Darkness Energy;MEE 7;2;2;1;2,0;1;100,0;MEE;;7;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_007_R_EN_LG.png;;260
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Dreepy;TWM 128;4;4;1;4,0;1;100,0;TWM;;128;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Drakloak;TWM 129;4;4;1;4,0;1;100,0;TWM;;129;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Dragapult ex;TWM 130;3;3;1;3,0;1;100,0;TWM;;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Budew;ASC 16;2;2;1;2,0;1;100,0;ASC;;16;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Munkidori;TWM 95;2;2;1;2,0;1;100,0;TWM;;95;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Fezandipiti ex;ASC 142;1;1;1;1,0;1;100,0;ASC;;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Meowth ex;POR 62;1;1;1;1,0;1;100,0;POR;;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Moltres;PFL 14;1;1;1;1,0;1;100,0;PFL;;14;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_014_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Lillie's Determination;MEG 119;4;4;1;4,0;1;100,0;MEG;;119;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_119_R_EN_LG.png;;176
6a0c8905dfbdf089cbbdd5e8;Turn Zero Rising! #2 (100 Codes);Online Dated;2026-06-08;Dragapult;Crispin;SCR 133;3;3;1;3,0;1;100,0;SCR;;133;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_133_R_EN_LG.png;;176
