deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Pidgeot Control;BESTEHEND;STABIL;32;32;0;337;338;1;0,68;0,68;0,0;47,34;47,41;0,07
Toxtricity Box;BESTEHEND;STABIL;33;33;0;328;329;1;0,67;0,66;-0,01;45,67;45,64;-0,03
Crustle;BESTEHEND;STABIL;34;34;0;322;326;4;0,65;0,65;0,0;47,52;47,79;0,27
Ethan's Typhlosion;BESTEHEND;STABIL;35;35;0;313;315;2;0,64;0,63;-0,01;45,85;45,85;0,0
Rocket's Mewtwo;BESTEHEND;STABIL;36;36;0;289;296;7;0,59;0,59;0,0;43,59;43,63;0,04
Ursaluna Lunatone;BESTEHEND;STABIL;37;37;0;220;222;2;0,45;0,45;0,0;48,92;48,87;-0,05
Gholdengo Joltik Box;BESTEHEND;STABIL;38;38;0;196;196;0;0,4;0,39;-0,01;50,12;50,12;0,0
Mega Charizard X;BESTEHEND;STABIL;39;39;0;189;191;2;0,38;0,38;0,0;35,71;35,9;0,19
Ho-Oh Armarouge;BESTEHEND;STABIL;40;40;0;186;187;1;0,38;0,38;0,0;46,65;46,8;0,15
Iron Hands Magneton;BESTEHEND;STABIL;41;41;0;179;187;8;0,36;0,38;0,02;46,13;46,36;0,23
Mega Lucario;BESTEHEND;AUFSTEIGEND;43;42;1;172;177;5;0,35;0,36;0,01;45,86;46,26;0,4
Marnie's Grimmsnarl;BESTEHEND;ABSTEIGEND;42;43;-1;176;176;0;0,36;0,35;-0,01;43,66;43,66;0,0
Ogerpon Meganium;BESTEHEND;STABIL;44;44;0;171;174;3;0,35;0,35;0,0;47,75;47,79;0,04
Roaring Moon;BESTEHEND;STABIL;45;45;0;149;150;1;0,3;0,3;0,0;48,5;48,52;0,02
Hop's Zacian;BESTEHEND;STABIL;46;46;0;147;147;0;0,3;0,29;-0,01;40,86;40,86;0,0
Slaking;BESTEHEND;STABIL;47;47;0;144;144;0;0,29;0,29;0,0;45,58;45,58;0,0
Hydrapple Ogerpon;BESTEHEND;STABIL;48;48;0;135;135;0;0,27;0,27;0,0;44,31;44,31;0,0
Archaludon;BESTEHEND;STABIL;49;49;0;130;130;0;0,26;0,26;0,0;45,37;45,37;0,0
Kangaskhan Forretress;BESTEHEND;STABIL;50;50;0;126;126;0;0,26;0,25;-0,01;46,98;46,98;0,0
Chien-Pao Baxcalibur;BESTEHEND;STABIL;51;51;0;116;116;0;0,24;0,23;-0,01;40,5;40,5;0,0
Iron Valiant;BESTEHEND;AUFSTEIGEND;53;52;1;109;111;2;0,22;0,22;0,0;51,72;51,71;-0,01
Conkeldurr;BESTEHEND;ABSTEIGEND;52;53;-1;110;110;0;0,22;0,22;0,0;46,37;46,37;0,0
Manectric Eelektrik;BESTEHEND;STABIL;54;54;0;109;110;1;0,22;0,22;0,0;42,83;42,73;-0,1
Mega Lopunny;BESTEHEND;STABIL;55;55;0;107;107;0;0,22;0,21;-0,01;46,02;46,02;0,0
Wugtrio Mill;BESTEHEND;STABIL;56;56;0;106;106;0;0,22;0,21;-0,01;41,7;41,7;0,0
Charizard;BESTEHEND;STABIL;57;57;0;105;105;0;0,21;0,21;0,0;38,41;38,41;0,0
Terapagos Noctowl;BESTEHEND;STABIL;58;58;0;103;103;0;0,21;0,21;0,0;46,81;46,81;0,0
Raging Bolt;BESTEHEND;STABIL;59;59;0;86;86;0;0,17;0,17;0,0;41,03;41,03;0,0
Mega Abomasnow;BESTEHEND;STABIL;60;60;0;77;77;0;0,16;0,15;-0,01;38,94;38,94;0,0
Feraligatr;BESTEHEND;STABIL;61;61;0;72;74;2;0,15;0,15;0,0;39,26;39,09;-0,17
Iron Thorns Crustle;BESTEHEND;STABIL;62;62;0;71;73;2;0,14;0,15;0,01;48,63;48,3;-0,33
Zoroark Crustle;BESTEHEND;STABIL;63;63;0;69;69;0;0,14;0,14;0,0;48,48;48,48;0,0
Great Tusk Mill;BESTEHEND;STABIL;64;64;0;66;67;1;0,13;0,13;0,0;47,5;47,3;-0,2
Tyranitar;BESTEHEND;AUFSTEIGEND;67;65;2;61;65;4;0,12;0,13;0,01;36,57;36,96;0,39
Mega Kangaskhan;BESTEHEND;STABIL;66;66;0;63;64;1;0,13;0,13;0,0;38,55;38,1;-0,45
Paldean Tauros;BESTEHEND;ABSTEIGEND;65;67;-2;63;63;0;0,13;0,13;0,0;45,32;45,32;0,0
Yanmega;BESTEHEND;STABIL;68;68;0;60;60;0;0,12;0,12;0,0;45,42;45,42;0,0
Dragapult Blaziken;BESTEHEND;STABIL;69;69;0;58;58;0;0,12;0,12;0,0;48,46;48,46;0,0
Rocket's Spidops;BESTEHEND;STABIL;71;71;0;56;56;0;0,11;0,11;0,0;42,56;42,56;0,0
Palafin;BESTEHEND;STABIL;72;72;0;55;55;0;0,11;0,11;0,0;41,94;41,94;0,0
Mega Latias;BESTEHEND;STABIL;73;73;0;55;55;0;0,11;0,11;0,0;37,23;37,23;0,0
Hydrapple;BESTEHEND;STABIL;74;74;0;54;54;0;0,11;0,11;0,0;43,38;43,38;0,0
Flareon;BESTEHEND;AUFSTEIGEND;79;75;4;44;49;5;0,09;0,1;0,01;33,73;34,41;0,68
Ancient Box;BESTEHEND;ABSTEIGEND;75;76;-1;47;47;0;0,1;0,09;-0,01;51,38;51,38;0,0
Tsareena;BESTEHEND;ABSTEIGEND;76;77;-1;47;47;0;0,1;0,09;-0,01;32,14;32,14;0,0
Iono's Bellibolt;BESTEHEND;AUFSTEIGEND;81;78;3;42;45;3;0,09;0,09;0,0;48,96;47,12;-1,84
Blissey;BESTEHEND;ABSTEIGEND;77;79;-2;44;45;1;0,09;0,09;0,0;42,24;41,82;-0,42
Poison Latias;BESTEHEND;STABIL;80;80;0;43;45;2;0,09;0,09;0,0;41,71;40,98;-0,73
Mega Camerupt;BESTEHEND;ABSTEIGEND;78;81;-3;44;44;0;0,09;0,09;0,0;34,39;34,39;0,0
Blaziken;BESTEHEND;STABIL;83;83;0;41;41;0;0,08;0,08;0,0;37,11;37,11;0,0
Raging Bolt Bellibolt;BESTEHEND;STABIL;84;84;0;40;40;0;0,08;0,08;0,0;41,97;41,97;0,0
Iron Thorns;BESTEHEND;STABIL;85;85;0;36;36;0;0,07;0,07;0,0;44,17;44,17;0,0
Ethan's Magcargo;BESTEHEND;STABIL;86;86;0;35;35;0;0,07;0,07;0,0;51,03;51,03;0,0
Mamoswine;BESTEHEND;STABIL;87;87;0;34;35;1;0,07;0,07;0,0;41,91;41,01;-0,9
Rocket's Porygon-Z;BESTEHEND;STABIL;88;88;0;33;33;0;0,07;0,07;0,0;30,28;30,28;0,0
Tinkaton;BESTEHEND;STABIL;89;89;0;28;29;1;0,06;0,06;0,0;43,31;42,86;-0,45
United Wings;BESTEHEND;STABIL;90;90;0;28;28;0;0,06;0,06;0,0;39,09;39,09;0,0
Gholdengo Typhlosion;BESTEHEND;STABIL;91;91;0;25;25;0;0,05;0,05;0,0;49,5;49,5;0,0
Mega Manectric;BESTEHEND;STABIL;92;92;0;25;25;0;0,05;0,05;0,0;31,03;31,03;0,0
Toedscruel;BESTEHEND;STABIL;93;93;0;23;24;1;0,05;0,05;0,0;45,1;44,86;-0,24
Future Box;BESTEHEND;STABIL;94;94;0;21;21;0;0,04;0,04;0,0;50,94;50,94;0,0
Heatran Metang;BESTEHEND;STABIL;95;95;0;21;21;0;0,04;0,04;0,0;47,13;47,13;0,0
Lopunny Dudunsparce;BESTEHEND;STABIL;96;96;0;21;21;0;0,04;0,04;0,0;41,3;41,3;0,0
Scovillain;BESTEHEND;STABIL;97;97;0;21;21;0;0,04;0,04;0,0;32,86;32,86;0,0
Rocket's Nidoking;BESTEHEND;STABIL;98;98;0;21;21;0;0,04;0,04;0,0;32,53;32,53;0,0
Charizard Dragapult;BESTEHEND;STABIL;99;99;0;20;20;0;0,04;0,04;0,0;48,61;48,61;0,0
Flygon;BESTEHEND;STABIL;100;100;0;20;20;0;0,04;0,04;0,0;45,92;45,92;0,0
Okidogi;BESTEHEND;STABIL;101;101;0;20;20;0;0,04;0,04;0,0;43,02;43,02;0,0
Mega Sharpedo;BESTEHEND;STABIL;102;102;0;20;20;0;0,04;0,04;0,0;31,71;31,71;0,0
Azumarill;BESTEHEND;AUFSTEIGEND;109;103;6;16;19;3;0,03;0,04;0,01;44,74;43,68;-1,06
Gholdengo Dudunsparce;BESTEHEND;ABSTEIGEND;103;104;-1;19;19;0;0,04;0,04;0,0;39,34;39,34;0,0
Miraidon Eelektrik;BESTEHEND;ABSTEIGEND;104;105;-1;18;18;0;0,04;0,04;0,0;47,44;47,44;0,0
Blaziken Zoroark;BESTEHEND;ABSTEIGEND;105;106;-1;18;18;0;0,04;0,04;0,0;37,93;37,93;0,0
Espathra Xatu;BESTEHEND;ABSTEIGEND;106;107;-1;17;17;0;0,03;0,03;0,0;46,15;46,15;0,0
Gouging Fire;BESTEHEND;ABSTEIGEND;107;108;-1;16;16;0;0,03;0,03;0,0;49,38;49,38;0,0
Future Hands;BESTEHEND;ABSTEIGEND;108;109;-1;16;16;0;0,03;0,03;0,0;49,09;49,09;0,0
Forretress;BESTEHEND;STABIL;110;110;0;15;16;1;0,03;0,03;0,0;46,43;44,83;-1,6
Miraidon;BESTEHEND;AUFSTEIGEND;113;111;2;14;16;2;0,03;0,03;0,0;29,03;30,0;0,97
Charizard Greninja;BESTEHEND;ABSTEIGEND;111;112;-1;15;15;0;0,03;0,03;0,0;46,05;46,05;0,0
Dragapult Froslass;BESTEHEND;ABSTEIGEND;112;113;-1;14;14;0;0,03;0,03;0,0;47,06;47,06;0,0
Bloodmoon Ursaluna;BESTEHEND;STABIL;114;114;0;13;13;0;0,03;0,03;0,0;51,67;51,67;0,0
Sinistcha Ogerpon;BESTEHEND;AUFSTEIGEND;117;115;2;12;13;1;0,02;0,03;0,01;46,55;46,88;0,33
Charizard Dusknoir;BESTEHEND;ABSTEIGEND;115;116;-1;13;13;0;0,03;0,03;0,0;35,29;35,29;0,0
Copperajah;BESTEHEND;ABSTEIGEND;116;117;-1;12;12;0;0,02;0,02;0,0;53,49;53,49;0,0
Clefairy Ogerpon;BESTEHEND;STABIL;118;118;0;12;12;0;0,02;0,02;0,0;46,43;46,43;0,0
Milotic;BESTEHEND;STABIL;119;119;0;12;12;0;0,02;0,02;0,0;39,13;39,13;0,0
Zoroark Lucario;BESTEHEND;STABIL;120;120;0;12;12;0;0,02;0,02;0,0;32,65;32,65;0,0
Poison Terapagos;BESTEHEND;STABIL;121;121;0;12;12;0;0,02;0,02;0,0;23,33;23,33;0,0
Roaring Moon Dudunsparce;BESTEHEND;STABIL;122;122;0;11;11;0;0,02;0,02;0,0;50,98;50,98;0,0
Poison Archaludon;BESTEHEND;STABIL;123;123;0;11;11;0;0,02;0,02;0,0;44,44;44,44;0,0
Spidops;BESTEHEND;STABIL;124;124;0;11;11;0;0,02;0,02;0,0;41,07;41,07;0,0
Greninja Blaziken;BESTEHEND;STABIL;125;125;0;11;11;0;0,02;0,02;0,0;39,29;39,29;0,0
Cinderace;BESTEHEND;STABIL;126;126;0;11;11;0;0,02;0,02;0,0;32,35;32,35;0,0
Archaludon Dudunsparce;BESTEHEND;STABIL;127;127;0;10;10;0;0,02;0,02;0,0;55,1;55,1;0,0
Meowscarada;BESTEHEND;STABIL;128;128;0;10;10;0;0,02;0,02;0,0;43,9;43,9;0,0
Farigiraf Milotic;BESTEHEND;STABIL;129;129;0;10;10;0;0,02;0,02;0,0;38,64;38,64;0,0
Greninja Froslass;BESTEHEND;STABIL;130;130;0;8;8;0;0,02;0,02;0,0;26,92;26,92;0,0
Alakazam;BESTEHEND;STABIL;131;131;0;8;8;0;0,02;0,02;0,0;25,0;25,0;0,0
Dragapult Iron Thorns;BESTEHEND;STABIL;132;132;0;7;7;0;0,01;0,01;0,0;41,38;41,38;0,0
Dragapult Pidgeot;BESTEHEND;STABIL;133;133;0;7;7;0;0,01;0,01;0,0;36,0;36,0;0,0
Misty's Gyarados;BESTEHEND;STABIL;134;134;0;7;7;0;0,01;0,01;0,0;32,0;32,0;0,0
Mimikyu Ogerpon;BESTEHEND;STABIL;135;135;0;7;7;0;0,01;0,01;0,0;30,0;30,0;0,0
Garchomp;BESTEHEND;STABIL;136;136;0;7;7;0;0,01;0,01;0,0;23,81;23,81;0,0
Gholdengo Dragapult;BESTEHEND;STABIL;137;137;0;6;6;0;0,01;0,01;0,0;50,0;50,0;0,0
Espathra;BESTEHEND;STABIL;138;138;0;6;6;0;0,01;0,01;0,0;48,15;48,15;0,0
Ogerpon;BESTEHEND;STABIL;139;139;0;6;6;0;0,01;0,01;0,0;38,24;38,24;0,0
Venomoth Froslass;BESTEHEND;STABIL;140;140;0;6;6;0;0,01;0,01;0,0;37,93;37,93;0,0
Archaludon Zoroark;BESTEHEND;STABIL;141;141;0;6;6;0;0,01;0,01;0,0;36,84;36,84;0,0
Dragapult Zoroark;BESTEHEND;STABIL;142;142;0;4;4;0;0,01;0,01;0,0;58,33;58,33;0,0
Chien-Pao Noctowl;BESTEHEND;STABIL;143;143;0;4;4;0;0,01;0,01;0,0;52,17;52,17;0,0
Espathra Froslass;BESTEHEND;STABIL;144;144;0;4;4;0;0,01;0,01;0,0;47,62;47,62;0,0
Salamence;BESTEHEND;STABIL;145;145;0;4;4;0;0,01;0,01;0,0;46,67;46,67;0,0
Incineroar;BESTEHEND;STABIL;146;146;0;4;4;0;0,01;0,01;0,0;45,83;45,83;0,0
Cornerstone Mask Ogerpon;BESTEHEND;STABIL;147;147;0;4;4;0;0,01;0,01;0,0;41,18;41,18;0,0
Galvantula;BESTEHEND;STABIL;148;148;0;4;4;0;0,01;0,01;0,0;38,46;38,46;0,0
Gengar;BESTEHEND;STABIL;149;149;0;4;4;0;0,01;0,01;0,0;36,84;36,84;0,0
Magnezone;BESTEHEND;STABIL;150;150;0;4;4;0;0,01;0,01;0,0;0,0;0,0;0,0
Scizor;BESTEHEND;STABIL;151;151;0;3;3;0;0,01;0,01;0,0;50,0;50,0;0,0
Ting-Lu;BESTEHEND;STABIL;152;152;0;3;3;0;0,01;0,01;0,0;45,45;45,45;0,0
Alolan Exeggutor ex;BESTEHEND;STABIL;153;153;0;3;3;0;0,01;0,01;0,0;35,71;35,71;0,0
Luxray;BESTEHEND;STABIL;154;154;0;3;3;0;0,01;0,01;0,0;33,33;33,33;0,0
Gothitelle;BESTEHEND;AUFSTEIGEND;158;155;3;2;3;1;0,0;0,01;0,01;30,0;21,43;-8,57
Steelix;BESTEHEND;ABSTEIGEND;155;156;-1;2;2;0;0,0;0,0;0,0;66,67;66,67;0,0
Steelix Dodrio;BESTEHEND;ABSTEIGEND;156;157;-1;2;2;0;0,0;0,0;0,0;37,5;37,5;0,0
Raging Bolt Sandy Shocks;BESTEHEND;ABSTEIGEND;157;158;-1;2;2;0;0,0;0,0;0,0;33,33;33,33;0,0
Banette;BESTEHEND;STABIL;159;159;0;2;2;0;0,0;0,0;0,0;16,67;16,67;0,0
Dondozo;BESTEHEND;STABIL;160;160;0;2;2;0;0,0;0,0;0,0;16,67;16,67;0,0
Arcanine;BESTEHEND;STABIL;161;161;0;2;2;0;0,0;0,0;0,0;0,0;0,0;0,0
Ursaluna Iron Valiant;BESTEHEND;STABIL;162;162;0;1;1;0;0,0;0,0;0,0;50,0;50,0;0,0
Dudunsparce Control;BESTEHEND;STABIL;163;163;0;1;1;0;0,0;0,0;0,0;22,22;22,22;0,0
Lillie's Clefairy;BESTEHEND;STABIL;164;164;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
Future Thorns;BESTEHEND;STABIL;165;165;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
Aegislash;BESTEHEND;STABIL;166;166;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
Farigiraf Crustle;BESTEHEND;STABIL;167;167;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0
